Codepoint,Property,Description
0000-001F,DISALLOWED,NULL..INFORMATION SEPARATOR ONE
0020,ID_DIS or FREE_PVAL,SPACE
0021-007E,PVALID,EXCLAMATION MARK..TILDE
007F-009F,DISALLOWED,DELETE..APPLICATION PROGRAM COMMAND
00A0-00AC,ID_DIS or FREE_PVAL,NO-BREAK SPACE..NOT SIGN
00AD,DISALLOWED,SOFT HYPHEN
00AE-00B6,ID_DIS or FREE_PVAL,REGISTERED SIGN..PILCROW SIGN
00B7,CONTEXTO,MIDDLE DOT
00B8-00BF,ID_DIS or FREE_PVAL,CEDILLA..INVERTED QUESTION MARK
00C0-00D6,PVALID,LATIN CAPITAL LETTER A WITH GRAVE..LATIN CAPITAL LETTER O WITH DIAERESIS
00D7,ID_DIS or FREE_PVAL,MULTIPLICATION SIGN
00D8-00F6,PVALID,LATIN CAPITAL LETTER O WITH STROKE..LATIN SMALL LETTER O WITH DIAERESIS
00F7,ID_DIS or FREE_PVAL,DIVISION SIGN
00F8-0131,PVALID,LATIN SMALL LETTER O WITH STROKE..LATIN SMALL LETTER DOTLESS I
0132-0133,ID_DIS or FREE_PVAL,LATIN CAPITAL LIGATURE IJ..LATIN SMALL LIGATURE IJ
0134-013E,PVALID,LATIN CAPITAL LETTER J WITH CIRCUMFLEX..LATIN SMALL LETTER L WITH CARON
013F-0140,ID_DIS or FREE_PVAL,LATIN CAPITAL LETTER L WITH MIDDLE DOT..LATIN SMALL LETTER L WITH MIDDLE DOT
0141-0148,PVALID,LATIN CAPITAL LETTER L WITH STROKE..LATIN SMALL LETTER N WITH CARON
0149,ID_DIS or FREE_PVAL,LATIN SMALL LETTER N PRECEDED BY APOSTROPHE
014A-017E,PVALID,LATIN CAPITAL LETTER ENG..LATIN SMALL LETTER Z WITH CARON
017F,ID_DIS or FREE_PVAL,LATIN SMALL LETTER LONG S
0180-01C3,PVALID,LATIN SMALL LETTER B WITH STROKE..LATIN LETTER RETROFLEX CLICK
01C4-01CC,ID_DIS or FREE_PVAL,LATIN CAPITAL LETTER DZ WITH CARON..LATIN SMALL LETTER NJ
01CD-01F0,PVALID,LATIN CAPITAL LETTER A WITH CARON..LATIN SMALL LETTER J WITH CARON
01F1-01F3,ID_DIS or FREE_PVAL,LATIN CAPITAL LETTER DZ..LATIN SMALL LETTER DZ
01F4-02AF,PVALID,LATIN CAPITAL LETTER G WITH ACUTE..LATIN SMALL LETTER TURNED H WITH FISHHOOK AND TAIL
02B0-02B8,ID_DIS or FREE_PVAL,MODIFIER LETTER SMALL H..MODIFIER LETTER SMALL Y
02B9-02C1,PVALID,MODIFIER LETTER PRIME..MODIFIER LETTER REVERSED GLOTTAL STOP
02C2-02C5,ID_DIS or FREE_PVAL,MODIFIER LETTER LEFT ARROWHEAD..MODIFIER LETTER DOWN ARROWHEAD
02C6-02D1,PVALID,MODIFIER LETTER CIRCUMFLEX ACCENT..MODIFIER LETTER HALF TRIANGULAR COLON
02D2-02EB,ID_DIS or FREE_PVAL,MODIFIER LETTER CENTRED RIGHT HALF RING..MODIFIER LETTER YANG DEPARTING TONE MARK
02EC,PVALID,MODIFIER LETTER VOICING
02ED,ID_DIS or FREE_PVAL,MODIFIER LETTER UNASPIRATED
02EE,PVALID,MODIFIER LETTER DOUBLE APOSTROPHE
02EF-02FF,ID_DIS or FREE_PVAL,MODIFIER LETTER LOW DOWN ARROWHEAD..MODIFIER LETTER LOW LEFT ARROW
0300-033F,PVALID,COMBINING GRAVE ACCENT..COMBINING DOUBLE OVERLINE
0340-0341,ID_DIS or FREE_PVAL,COMBINING GRAVE TONE MARK..COMBINING ACUTE TONE MARK
0342,PVALID,COMBINING GREEK PERISPOMENI
0343-0344,ID_DIS or FREE_PVAL,COMBINING GREEK KORONIS..COMBINING GREEK DIALYTIKA TONOS
0345-034E,PVALID,COMBINING GREEK YPOGEGRAMMENI..COMBINING UPWARDS ARROW BELOW
034F,DISALLOWED,COMBINING GRAPHEME JOINER
0350-0373,PVALID,COMBINING RIGHT ARROWHEAD ABOVE..GREEK SMALL LETTER ARCHAIC SAMPI
0374,ID_DIS or FREE_PVAL,GREEK NUMERAL SIGN
0375,CONTEXTO,GREEK LOWER NUMERAL SIGN
0376-0377,PVALID,GREEK CAPITAL LETTER PAMPHYLIAN DIGAMMA..GREEK SMALL LETTER PAMPHYLIAN DIGAMMA
0378-0379,UNASSIGNED,<RESERVED>..<RESERVED>
037A,ID_DIS or FREE_PVAL,GREEK YPOGEGRAMMENI
037B-037D,PVALID,GREEK SMALL REVERSED LUNATE SIGMA SYMBOL..GREEK SMALL REVERSED DOTTED LUNATE SIGMA SYMBOL
037E,ID_DIS or FREE_PVAL,GREEK QUESTION MARK
037F-0383,UNASSIGNED,<RESERVED>..<RESERVED>
0384-0385,ID_DIS or FREE_PVAL,GREEK TONOS..GREEK DIALYTIKA TONOS
0386,PVALID,GREEK CAPITAL LETTER ALPHA WITH TONOS
0387,ID_DIS or FREE_PVAL,GREEK ANO TELEIA
0388-038A,PVALID,GREEK CAPITAL LETTER EPSILON WITH TONOS..GREEK CAPITAL LETTER IOTA WITH TONOS
038B,UNASSIGNED,<RESERVED>
038C,PVALID,GREEK CAPITAL LETTER OMICRON WITH TONOS
038D,UNASSIGNED,<RESERVED>
038E-03A1,PVALID,GREEK CAPITAL LETTER UPSILON WITH TONOS..GREEK CAPITAL LETTER RHO
03A2,UNASSIGNED,<RESERVED>
03A3-03CF,PVALID,GREEK CAPITAL LETTER SIGMA..GREEK CAPITAL KAI SYMBOL
03D0-03D6,ID_DIS or FREE_PVAL,GREEK BETA SYMBOL..GREEK PI SYMBOL
03D7-03EF,PVALID,GREEK KAI SYMBOL..COPTIC SMALL LETTER DEI
03F0-03F2,ID_DIS or FREE_PVAL,GREEK KAPPA SYMBOL..GREEK LUNATE SIGMA SYMBOL
03F3,PVALID,GREEK LETTER YOT
03F4-03F6,ID_DIS or FREE_PVAL,GREEK CAPITAL THETA SYMBOL..GREEK REVERSED LUNATE EPSILON SYMBOL
03F7-03F8,PVALID,GREEK CAPITAL LETTER SHO..GREEK SMALL LETTER SHO
03F9,ID_DIS or FREE_PVAL,GREEK CAPITAL LUNATE SIGMA SYMBOL
03FA-0481,PVALID,GREEK CAPITAL LETTER SAN..CYRILLIC SMALL LETTER KOPPA
0482,ID_DIS or FREE_PVAL,CYRILLIC THOUSANDS SIGN
0483-0487,PVALID,COMBINING CYRILLIC TITLO..COMBINING CYRILLIC POKRYTIE
0488-0489,ID_DIS or FREE_PVAL,COMBINING CYRILLIC HUNDRED THOUSANDS SIGN..COMBINING CYRILLIC MILLIONS SIGN
048A-0527,PVALID,CYRILLIC CAPITAL LETTER SHORT I WITH TAIL..CYRILLIC SMALL LETTER SHHA WITH DESCENDER
0528-0530,UNASSIGNED,<RESERVED>..<RESERVED>
0531-0556,PVALID,ARMENIAN CAPITAL LETTER AYB..ARMENIAN CAPITAL LETTER FEH
0557-0558,UNASSIGNED,<RESERVED>..<RESERVED>
0559,PVALID,ARMENIAN MODIFIER LETTER LEFT HALF RING
055A-055F,ID_DIS or FREE_PVAL,ARMENIAN APOSTROPHE..ARMENIAN ABBREVIATION MARK
0560,UNASSIGNED,<RESERVED>
0561-0586,PVALID,ARMENIAN SMALL LETTER AYB..ARMENIAN SMALL LETTER FEH
0587,ID_DIS or FREE_PVAL,ARMENIAN SMALL LIGATURE ECH YIWN
0588,UNASSIGNED,<RESERVED>
0589-058A,ID_DIS or FREE_PVAL,ARMENIAN FULL STOP..ARMENIAN HYPHEN
058B-058E,UNASSIGNED,<RESERVED>..<RESERVED>
058F,ID_DIS or FREE_PVAL,ARMENIAN DRAM SIGN
0590,UNASSIGNED,<RESERVED>
0591-05BD,PVALID,HEBREW ACCENT ETNAHTA..HEBREW POINT METEG
05BE,ID_DIS or FREE_PVAL,HEBREW PUNCTUATION MAQAF
05BF,PVALID,HEBREW POINT RAFE
05C0,ID_DIS or FREE_PVAL,HEBREW PUNCTUATION PASEQ
05C1-05C2,PVALID,HEBREW POINT SHIN DOT..HEBREW POINT SIN DOT
05C3,ID_DIS or FREE_PVAL,HEBREW PUNCTUATION SOF PASUQ
05C4-05C5,PVALID,HEBREW MARK UPPER DOT..HEBREW MARK LOWER DOT
05C6,ID_DIS or FREE_PVAL,HEBREW PUNCTUATION NUN HAFUKHA
05C7,PVALID,HEBREW POINT QAMATS QATAN
05C8-05CF,UNASSIGNED,<RESERVED>..<RESERVED>
05D0-05EA,PVALID,HEBREW LETTER ALEF..HEBREW LETTER TAV
05EB-05EF,UNASSIGNED,<RESERVED>..<RESERVED>
05F0-05F2,PVALID,HEBREW LIGATURE YIDDISH DOUBLE VAV..HEBREW LIGATURE YIDDISH DOUBLE YOD
05F3-05F4,CONTEXTO,HEBREW PUNCTUATION GERESH..HEBREW PUNCTUATION GERSHAYIM
05F5-05FF,UNASSIGNED,<RESERVED>..<RESERVED>
0600-0604,DISALLOWED,ARABIC NUMBER SIGN..ARABIC SIGN SAMVAT
0605,UNASSIGNED,<RESERVED>
0606-060F,ID_DIS or FREE_PVAL,ARABIC-INDIC CUBE ROOT..ARABIC SIGN MISRA
